ParkName,ParkID,ZipCode,FacilityName,FacilityID,SiteType
Big Basin Redwoods SP,3,95006,Sequoia Group 1 & 2,333,Group Campsite
Big Basin Redwoods SP,3,95006,Sequoia Group 1 & 2,333,Group Tent Campsite
Big Basin Redwoods SP,3,95006,Sempervirens Campground (sites 157-188),335,Campsite
Big Basin Redwoods SP,3,95006,Sempervirens Campground (sites 157-188),335,Tent Campsite
Big Basin Redwoods SP,3,95006,Huckleberry Campground (sites 42-75),336,Campsite
Big Basin Redwoods SP,3,95006,Huckleberry Campground (sites 42-75),336,Hike in Campsite
Big Basin Redwoods SP,3,95006,Huckleberry Campground (sites 42-75),336,Tent Campsite
Big Basin Redwoods SP,3,95006,Wastahi Campground (sites 76-102),337,Hike in Campsite
Big Basin Redwoods SP,3,95006,Sky Meadow Group 1 & 2,338,Group Tent Primitive Campsite
Big Basin Redwoods SP,3,95006,Upper Blooms Creek (sites 139-156),339,Hike in Campsite
Big Basin Redwoods SP,3,95006,Upper Blooms Creek (sites 139-156),339,Tent Campsite
Big Basin Redwoods  SP Tent Cabins,618,95006,Huckleberry Tent Cabins,340,Cabin (4 People)
Big Basin Redwoods  SP Tent Cabins,618,95006,Huckleberry Tent Cabins,340,Camping Package
Big Basin Redwoods  SP Tent Cabins,618,95006,Huckleberry Tent Cabins,340,Deluxe Cabin
Little Basin State Park,667,95006,Creekside Area,548,Cabin (8 People)
Little Basin State Park,667,95006,Creekside Area,548,Campsite
Little Basin State Park,667,95006,Derksen Grove,549,Hook Up (E/W) Campsite
Little Basin State Park,667,95006,Huckleberry Area,550,Cabin (8 People)
Little Basin State Park,667,95006,Huckleberry Area,550,Campsite
Little Basin State Park,667,95006,Stargazers Area,551,Cabin (10 People)
Little Basin State Park,667,95006,Stargazers Area,551,Cabin (8 People)
Little Basin State Park,667,95006,Stargazers Area,551,Campsite
Little Basin State Park,667,95006,Woodfern Area,552,Cabin (3 People)
Little Basin State Park,667,95006,Woodfern Area,552,Campsite
Big Basin Redwoods SP,3,95006,Alder Trail Camp Sites,1945,Hike In Primitive Campsite
Big Basin Redwoods SP,3,95006,Jay Camp Bike-In Sites,1947,Bike In Primitive Campsite
Big Basin Redwoods SP,3,95006,Jay Trail Camp,1948,Hike In Primitive Campsite
Big Basin Redwoods SP,3,95006,Lane Trail Camp Sites,1949,Hike In Primitive Campsite
Big Basin Redwoods SP,3,95006,Rancho Del Oso Horse Camp,1950,Equestrian Primitive Campsite
Big Basin Redwoods SP,3,95006,Sunset Trail Camp Sites,1951,Hike In Primitive Campsite
Big Basin Redwoods SP,3,95006,Twin Redwoods Trail Camp,1952,Hike In Primitive Campsite
Little Basin State Park,667,95006,Deer Meadow Group Camp,2003,Group Tent Campsite
Big Basin Redwoods SP,3,95006,Huckleberry Tent Cabins,2116,Hook Up (E/W/S) Campsite
New Brighton SB,685,95010,Group Camping Area,596,Group Campsite
New Brighton SB,685,95010,Campground Southern End (sites 1-43),597,Bike In Campsite
New Brighton SB,685,95010,Campground Southern End (sites 1-43),597,Campsite
New Brighton SB,685,95010,Campground Northern End (sites 44-111),598,Campsite
New Brighton SB,685,95010,Campground Northern End (sites 44-111),598,Double Hook Up (E/W/S) Campsite
New Brighton SB,685,95010,Campground Northern End (sites 44-111),598,Hook Up (E/W) Campsite
New Brighton SB,685,95010,Campground Northern End (sites 44-111),598,Premium Campsite
New Brighton SB,685,95010,Campground Northern End (sites 44-111),598,Tent Campsite
Henry Cowell Redwoods SP,655,95018,Cowell Campground  South (sites 1-51),504,Campsite
Henry Cowell Redwoods SP,655,95018,Cowell Campground  South (sites 1-51),504,Hook Up (E/W/S) Campsite
Henry Cowell Redwoods SP,655,95018,Cowell Campground  South (sites 1-51),504,Tent Campsite
Henry Cowell Redwoods SP,655,95018,Cowell Campground North (sites 52-113),505,Bike In Campsite
Henry Cowell Redwoods SP,655,95018,Cowell Campground North (sites 52-113),505,Campsite
Henry Cowell Redwoods SP,655,95018,Cowell Campground North (sites 52-113),505,Hook Up (E/W/S) Campsite
Henry Cowell Redwoods SP,655,95018,Cowell Campground North (sites 52-113),505,Tent Campsite
Castle Rock SP,1111,95033,Frog Flat,1956,Hike In Primitive Campsite
Castle Rock SP,1111,95033,Main Camp Site,1957,Hike In Primitive Campsite
Castle Rock SP,1111,95033,Waterman Gap Trail,1958,Hike In Primitive Campsite
Wilder Ranch SP,1236,95060,Wilder Ranch SP,1104,Equestrian Campsite
Sunset SB,726,95076,Pines Hollow Camp (sites 38-61),734,Bike In Campsite
Sunset SB,726,95076,Pines Hollow Camp (sites 38-61),734,Campsite
Sunset SB,726,95076,Pines Hollow Camp (sites 38-61),734,Double Hook Up (E/W/S) Campsite
Sunset SB,726,95076,Sunset Group Area,735,Group Tent Campsite
Sunset SB,726,95076,South Camp (sites 1-37),737,Campsite
Sunset SB,726,95076,South Camp (sites 1-37),737,Double Hook Up (E/W/S) Campsite
Mcarthur-Burney Falls Memorial SP,674,96013,Pioneer Camp,567,Campsite
Mcarthur-Burney Falls Memorial SP,674,96013,Pioneer Camp,567,Hike In Primitive Campsite
Mcarthur-Burney Falls Memorial SP,674,96013,Pioneer Camp,567,Hook Up (E ) Campsite
Mcarthur-Burney Falls Memorial SP,674,96013,Pioneer Camp,567,Mini-Group Campsite
Mcarthur-Burney Falls Memorial SP,674,96013,Pioneer Camp,567,Tent Campsite
Mcarthur-Burney Falls Memorial SP,674,96013,Rim Camp (sites 1-62),569,Campsite
Mcarthur-Burney Falls Memorial SP,674,96013,Rim Camp (sites 1-62),569,Tent Campsite
Mcarthur-Burney Falls Mem SP Cabins,675,96013,Memorial Cabin Area,908,One Room Cabin
Mcarthur-Burney Falls Mem SP Cabins,675,96013,Memorial Cabin Area,908,Two Room Cabin
Mcarthur-Burney Falls Memorial SP,674,96013,Enroute,2005,Enroute Campsite
Mcarthur-Burney Falls Memorial SP,674,96013,Headwaters Camp,2006,Equestrian Campsite
Castle Crags SP,624,96017,Castle Crags Campground,431,Campsite
Castle Crags SP,624,96017,Castle Crags Campground,431,Hike/Bike Campsite
Castle Crags SP,624,96017,Castle Crags Campground,431,Tent Campsite
Castle Crags SP,624,96017,Riverside Campground,432,Campsite
Castle Crags SP,624,96017,Riverside Campground,432,Hook Up Campsite
Castle Crags SP,624,96017,Riverside Campground,432,Tent Campsite
Castle Crags SP,624,96017,Enroute,1953,Enroute Campsite
Castle Crags SP,624,96017,Flume Environmental Camp,1954,Hike In/Bike In Campsite
Castle Crags SP,624,96017,Lippencott Environmental Camp,1955,Hike In/Bike In Campsite
Ahjumawi Lava Springs SP,1074,96056,Crystal Springs Campground,1937,Boat In Primitive Campsite
Ahjumawi Lava Springs SP,1074,96056,Horr Pond Campground,1938,Boat In Primitive Campsite
Ahjumawi Lava Springs SP,1074,96056,Ja She Creek Campground,1939,Boat In Primitive Campsite
Benicia SRA,1090,94510,Benicia SRA,962,Hook Up (E/W/S) Campsite
Benicia SRA,1090,94510,En Route Parking Lot,1944,Enroute Campsite
Brannan Island SRA,621,94571,Brannan Island Berth Area,422,Boat Slip
Brannan Island SRA,621,94571,Cottonwood Campground,423,Campsite
Brannan Island SRA,621,94571,Sacramento Group Camping,424,Group Tent Campsite
Brannan Island SRA,621,94571,Olympic Campground,425,Hook Up (E/W) Campsite
Brannan Island SRA,621,94571,Ramada Day Use Area,426,Group Day Use
Brannan Island SRA,621,94571,Walk In Campground,427,Tent Only - Walk-In
Brannan Island SRA,621,94571,Willow Campground,428,Campsite
Brannan Island SRA,621,94571,Willow Campground,428,Hook Up (E/W/S) Campsite
Brannan Island SRA,621,94571,Cabin Colony,753,Cabin (4 People)
Sonoma Coast State Park,718,94923,Wright's Beach (sites 1-27),706,Campsite
Sonoma Coast State Park,718,94923,Wright's Beach (sites 1-27),706,Double Hook Up (E/W/S) Campsite
Sonoma Coast State Park,718,94923,Wright's Beach (sites 1-27),706,Enroute Campsite
Sonoma Coast State Park,718,94923,Wright's Beach (sites 1-27),706,Premium Campsite
Sonoma Coast State Park,718,94923,Bodega Dunes,2061,Balcony
Sonoma Coast State Park,718,94923,Bodega Dunes,2061,Campsite
Sonoma Coast State Park,718,94923,Bodega Dunes,2061,Double Hook Up (E/W/S) Campsite
Sonoma Coast State Park,718,94923,Bodega Dunes,2061,Hike In Primitive Campsite
Sonoma Coast State Park,718,94923,Pomo Canyon Environmental Camp,2062,Hike In Primitive Campsite
Sonoma Coast State Park,718,94923,Willow Creek Environmental Camp,2063,Hike In Primitive Campsite
Austin Creek SRA,1085,95446,Bullfrog Pond Campground,1111,Hook Up (E/W/S) Campsite
Austin Creek SRA,1085,95446,Bullfrog Pond Campground,1111,Tent Primitive Campsite
Austin Creek SRA,1085,95446,Mannings Flat #1,1941,Tent Primitive Campsite
Austin Creek SRA,1085,95446,Mannings Flat #2,1942,Tent Primitive Campsite
Austin Creek SRA,1085,95446,Tom King,1943,Tent Primitive Campsite
Salt Point SP,703,95450,Warren Group Camp Area,613,Group Tent Campsite
Salt Point SP,703,95450,Woodside Upper Loop (sites 71-109),614,Campsite
Salt Point SP,703,95450,Woodside Upper Loop (sites 71-109),614,Hike In Primitive Campsite
Salt Point SP,703,95450,Woodside Upper Loop (sites 71-109),614,Hook Up (E/W/S) Campsite
Salt Point SP,703,95450,Gerstle Cove Campground (sites 1-30),648,Campsite
Salt Point SP,703,95450,Gerstle Cove Campground (sites 1-30),648,Enroute Campsite
Salt Point SP,703,95450,Gerstle Cove Campground (sites 1-30),648,Hook Up (E/W/S) Campsite
Salt Point SP,703,95450,Woodside Lower Loop (sites 31-70),649,Campsite
Salt Point SP,703,95450,Hike and Bike Campsites,2041,Hike In Primitive Campsite
Salt Point SP,703,95450,Overflow Camping,2042,Campsite
Sugarloaf Ridge SP,725,95452,Group Camping Area,728,Campsite
Sugarloaf Ridge SP,725,95452,Group Dailyuse Picnic Area,729,Group Day Use
Sugarloaf Ridge SP,725,95452,"Campground Loop (sites 1-14, 29-50)",731,Campsite
Sugarloaf Ridge SP,725,95452,Campground Spur (sites 15-28),733,Campsite
Turlock Lake SRA,730,95329,Campground (sites 1-66),739,Campsite
Turlock Lake SRA,730,95329,Campground (sites 1-66),739,Double Hook Up (E/W/S) Campsite
Turlock Lake SRA,730,95329,Campground (sites 1-66),739,Hike/Bike Campsite
Turlock Lake SRA,730,95329,Campground (sites 1-66),739,Hook Up (E/W/S) Campsite
Turlock Lake SRA,730,95329,Campground (sites 1-66),739,Tent Campsite
Woodson Bridge SRA,732,96021,Group Camping Area,746,Group Campsite
Woodson Bridge SRA,732,96021,Bridge Campground (sites 1-37),747,Campsite
Woodson Bridge SRA,732,96021,Kopta Canoe In,2128,Boat-In
Colonel Allensworth SHP,630,93219,John L. Whitehead Jr. Campground,445,Campsite
Colonel Allensworth SHP,630,93219,John L. Whitehead Jr. Campground,445,Hook Up (E/W/S) Campsite
Columbia SHP Hotels and Cottages,631,95310,City Hotel,402,Hotel Room (Balcony)
Columbia SHP Hotels and Cottages,631,95310,City Hotel,402,Hotel Room (Hallway)
Columbia SHP Hotels and Cottages,631,95310,City Hotel,402,Hotel Room (Parlor)
Columbia SHP Hotels and Cottages,631,95310,City Hotel,402,Hotel Room (Standard)
Columbia SHP Hotels and Cottages,631,95310,Fallon Hotel,403,Hotel Room
Columbia SHP Hotels and Cottages,631,95310,Fallon Hotel,403,Hotel Room (Balcony)
Columbia SHP Hotels and Cottages,631,95310,Fallon Hotel,403,Hotel Room (Hall)
Columbia SHP Hotels and Cottages,631,95310,Fallon Hotel,403,Hotel Room (Petite)
Columbia SHP Hotels and Cottages,631,95310,Fallon Hotel,403,Hotel Room (Standard)
Columbia SHP Hotels and Cottages,631,95310,Cottage Colony,755,Cottage (2 ppl)
Columbia SHP Hotels and Cottages,631,95310,Cottage Colony,755,Cottage (4 ppl)
Columbia SHP Hotels and Cottages,631,95310,Cottage Colony,755,Cottage (6 ppl)
Mcgrath SB,677,93036,Campground Section 1 (sites 1-58),571,Campsite
Mcgrath SB,677,93036,Campground Section 1 (sites 1-58),571,Group Camping
Mcgrath SB,677,93036,Campground Section 1 (sites 1-58),571,Hike In Primitive Campsite
Mcgrath SB,677,93036,Campground Section 1 (sites 1-58),571,Hook Up (E/W/S) Campsite
Mcgrath SB,677,93036,Campground Section 3 (sites 117-174),802,Campsite
Mcgrath SB,677,93036,Campground Section 3 (sites 117-174),802,Hook Up (E/W/S) Campsite
Mcgrath SB,677,93036,Campground Section 2 (sites 59-116),803,Campsite
Mcgrath SB,677,93036,Campground Section 2 (sites 59-116),803,Hook Up (E/W/S) Campsite
Emma Wood SB,642,93001,Group Camps,473,Group (RV) Camping
Emma Wood SB,642,93001,Group Camps,473,Group Primitive Campsite
Emma Wood SB,642,93001,Group Camps,473,Hike In Primitive Campsite
Emma Wood SB,642,93001,Group Camps,473,Hook Up (E/W/S) Campsite
Emma Wood SB,642,93001,North Beach Upper (sites 1-23),475,Hook Up (E ) Campsite
Emma Wood SB,642,93001,North Beach Upper (sites 1-23),475,Primitive Campsite
Emma Wood SB,642,93001,North Beach Lower (sites 24-90),478,Primitive Campsite
Emma Wood SB,642,93001,En Route Parking Lot,1966,Enroute Campsite
